x,y,color,label
44.27090585359458,61.15904437117712,#1f77b4,a
29.860203533367457,64.9671652136725,#1f77b4,a
46.893723920824684,32.99403829246427,#1f77b4,a
55.30740903960074,37.47845390812512,#1f77b4,a
51.21095552765174,48.69547554644663,#1f77b4,a
26.5723382575813,30.392250727539874,#1f77b4,a
32.90408933551015,57.725891434504376,#1f77b4,a
49.30047792231634,57.77503110750894,#1f77b4,a
59.46257615269873,66.94795043337865,#1f77b4,a
79.33060194503116,64.14190143500252,#1f77b4,a
64.61919776990555,45.9088590162923,#1f77b4,a
80.53628821842136,40.53476633006932,#1f77b4,a
52.716228941933196,48.554923681516016,#1f77b4,a
67.9287090103191,41.34259854385948,#1f77b4,a
87.68719701906278,57.003194928622634,#1f77b4,a
77.33388295474964,44.44020205762962,#1f77b4,a
87.0808998300184,60.84386129356602,#1f77b4,a
74.5108063239278,51.896105714029375,#1f77b4,a
92.48857209151367,51.81707870818667,#1f77b4,a
79.11042224321997,61.938362977130794,#1f77b4,a
111.78241341202346,34.13866786579638,#1f77b4,a
107.64863840618976,32.86199874079222,#1f77b4,a
117.99737092695901,46.981158378662826,#1f77b4,a
113.7160060316277,46.04044331629177,#1f77b4,a
98.93029983523323,53.10846765283907,#1f77b4,a
95.844064424821,40.47511962256823,#1f77b4,a
117.6899568539799,33.97532000656213,#1f77b4,a
130.88537285486396,30.006866278027985,#1f77b4,a
127.33967277621252,56.23971811917721,#1f77b4,a
123.20528534007767,44.58590207827001,#1f77b4,a
122.55475287541579,60.361050182000156,#1f77b4,a
116.46092216092585,63.40875461074057,#1f77b4,a
111.5567782758254,46.67002409641566,#1f77b4,a
112.53307211042849,54.64159714628801,#1f77b4,a
138.65142668395438,72.08232722367188,#1f77b4,a
150.10912811753158,58.94494638613975,#1f77b4,a
138.40193469630913,39.437757163556796,#1f77b4,a
136.08262854330454,58.75595391459234,#1f77b4,a
152.12695389246173,76.50394241250268,#1f77b4,a
137.56025795727476,50.392646427830016,#1f77b4,a
172.84959739675898,45.103459817388,#1f77b4,a
149.19411274457602,71.13967189860216,#1f77b4,a
144.73751963785475,73.58826984128672,#1f77b4,a
181.00008687871366,77.88926788556148,#1f77b4,a
159.13333053177018,52.941723857230556,#1f77b4,a
163.63212191308915,43.07849394139174,#1f77b4,a
184.4892609929764,74.5082572496803,#1f77b4,a
146.1289197179359,73.59344528890176,#1f77b4,a
176.0225361774832,47.39866712064236,#1f77b4,a
182.16941921523542,80.7225183127332,#1f77b4,a
172.5178893646354,67.03412242215865,#1f77b4,a
192.51257748441049,67.28674639010688,#1f77b4,a
172.12720141666523,56.061487614875546,#1f77b4,a
178.88861759097855,48.264038171360994,#1f77b4,a
200.38219060549685,50.37027746674647,#1f77b4,a
184.7845637541512,55.30674288691728,#1f77b4,a
163.89603786593278,50.65251428514625,#1f77b4,a
180.02012407458156,60.97094762309666,#1f77b4,a
196.2177086444313,56.65921986614666,#1f77b4,a
199.09718381096414,64.88230495640761,#1f77b4,a
